word_id,arabic_word,subtoken_word,root,morphology,pos,lemma,verse_id,sura,ayah,word_position
7168,فقل,قُلْ,قول,IMPV|VF:1|2MS,V,قالَ,354,3,61,10
7169,تعالوا,تَعَالَ,علو,IMPV|VF:4|2MP,V,تَعالَ,354,3,61,11
7205,قل,قُلْ,قول,IMPV|VF:1|2MS,V,قالَ,357,3,64,1
7208,تعالوا,تَعَالَ,علو,IMPV|VF:4|2MP,V,تَعالَ,357,3,64,4
7232,فقولوا,قُولُ,قول,IMPV|VF:1|2MP,V,قالَ,357,3,64,28
7233,اشهدوا,ٱشْهَدُ,شهد,IMPV|VF:1|2MP,V,شَهِدَ,357,3,64,29
7333,امنوا,ءَامِنُ,أمن,IMPV|VF:4|2MP,V,آمَنَ,365,3,72,6
7341,واكفروا,ٱكْفُرُ,كفر,IMPV|VF:1|2MP,V,كَفَرَ,365,3,72,14
7351,قل,قُلْ,قول,IMPV|VF:1|2MS,V,قالَ,366,3,73,7
7366,قل,قُلْ,قول,IMPV|VF:1|2MS,V,قالَ,366,3,73,22
7498,كونوا,كُونُ,كون,IMPV|VF:1|FAM:كَان|2MP,V,كانَ,372,3,79,13
7505,كونوا,كُونُ,كون,IMPV|VF:1|FAM:كَان|2MP,V,كانَ,372,3,79,20
7555,فاشهدوا,ٱشْهَدُ,شهد,IMPV|VF:1|2MP,V,شَهِدَ,374,3,81,29
7581,قل,قُلْ,قول,IMPV|VF:1|2MS,V,قالَ,377,3,84,1
7740,قل,قُلْ,قول,IMPV|VF:1|2MS,V,قالَ,386,3,93,18
7741,فاتوا,أْتُ,أتي,IMPV|VF:1|2MP,V,أَتَى,386,3,93,19
7743,فاتلوها,ٱتْلُ,تلو,IMPV|VF:1|2MP,V,تَلَى,386,3,93,21
7758,قل,قُلْ,قول,IMPV|VF:1|2MS,V,قالَ,388,3,95,1
7761,فاتبعوا,ٱتَّبِعُ,تبع,IMPV|VF:8|2MP,V,اتَّبَعَ,388,3,95,4
7804,قل,قُلْ,قول,IMPV|VF:1|2MS,V,قالَ,391,3,98,1
7816,قل,قُلْ,قول,IMPV|VF:1|2MS,V,قالَ,392,3,99,1
7869,اتقوا,ٱتَّقُ,وقي,IMPV|VF:8|2MP,V,اتَّقَى,395,3,102,4
7878,واعتصموا,ٱعْتَصِمُ,عصم,IMPV|VF:8|2MP,V,اعْتَصَمُ,396,3,103,1
7884,واذكروا,ٱذْكُرُ,ذكر,IMPV|VF:1|2MP,V,ذَكَرَ,396,3,103,7
7912,ولتكن,لْ,,IMPV|PREF,P,ل,397,3,104,1
7952,فذوقوا,ذُوقُ,ذوق,IMPV|VF:1|2MP,V,ذاقُ,399,3,106,13
8186,قل,قُلْ,قول,IMPV|VF:1|2MS,V,قالَ,412,3,119,20
8187,موتوا,مُوتُ,موت,IMPV|VF:1|2MP,V,ماتَ,412,3,119,21
8236,فليتوكل,لْ,,IMPV|PREF,P,ل,415,3,122,11
